ues,free5gc,oai,open5gs
1,0.392486811,0.473553975,0.286592086
2,0.282381137,0.674150785,0.318584601
3,0.252874454,0.912513336,0.349553347
4,0.306658745,1.112318913,0.372268438
5,0.327034791,1.253202836,0.396276395
10,0.524069866,2.231157144,0.545829535
20,0.997431993,4.350514174,0.736775716
30,1.386130651,6.431807121,1.010319074
40,1.903456847,8.665176709,1.440649907
50,2.342018763,10.80865312,1.487702608
100,4.894990762,21.55573002,3.450438341
200,9.717703342,44.12744665,7.296126525
300,15.01528398,64.49484619,11.03989736
