ues,free5gc,oai,open5gs
1,0.381246885,0.469223102,0.277335644
2,0.18118159,0.56044507,0.204822222
3,0.184126377,0.695773734,0.212259663
4,0.237970491,0.794484655,0.235409101
5,0.271893756,0.831883844,0.226801475
10,0.473261499,1.295912774,0.346396788
20,0.868505681,2.398196749,0.542112839
30,1.23509193,3.488497937,0.806202274
40,1.63449468,4.668274989,1.150452155
50,2.063151129,5.774609701,1.21929644
100,4.333613207,11.41232848,2.93499926
200,8.584849109,23.81999167,6.439768004
300,13.19300881,34.04827591,9.786832661
